2565 DE,2042,Loosduinen,2040,Oud Scheveningen,2092
2565 DG,2042,Escamp,2041,Vissershaven,2093
2565 DH,2042,Segbroek,2042,Scheveningen Badplaats,2094
2565 DJ,2042,Scheveningen,2043,Visserijbuurt,2095
2565 DK,2042,Centrum,2044,VSB,2096
2565 DL,2042,Laak,2045,Waldeck-Zuid,2097
2565 DM,2042,Haagse hout,2046,Statenkwartier,2098
2565 DN,2042,Leidschenveen-Ypenburg,2047,Geuzenkwartier,2099
2565 DP,2042,,,Vogelwijk,2100
2565 DR,2042,,,Rond de Energiecentr.,2101
2565 DS,2042,,,Kortenbos,2102
2565 DT,2042,,,Voorhout,2103
2565 DV,2042,,,Uilebomen,2104
2565 DW,2042,,,Zuidwal,2105
2565 DX,2042,,,Schildersbuurt-West,2106
2565 DZ,2042,,,Schildersbuurt-Noord,2107
2565 EA,2042,,,Schildersbuurt-Oost,2108
2565 EB,2042,,,,
2565 EC,2042,,,,
2565 ED,2042,,,,
2565 EE,2042,,,,
2565 EG,2042,,,,
2565 EH,2042,,,,
2565 EJ,2042,,,,
2565 EK,2042,,,,
2565 EL,2042,,,,
2566 NN,2042,,,,
2517 KS,2043,,,,
2517 KT,2043,,,,
2517 KV,2043,,,,
2517 KW,2043,,,,
2517 KX,2043,,,,
2517 KZ,2043,,,,
2584 AA,2043,,,,
2584 AB,2043,,,,
2584 AC,2043,,,,
2584 AD,2043,,,,
2584 AE,2043,,,,
2584 KA,2043,,,,
2584 KB,2043,,,,
2584 KC,2043,,,,
2584 KD,2043,,,,
2584 KE,2043,,,,

